timestamp_utc,level,category,class_method,event,args,ret,details,raw
2025-10-13T08:24:53.056341Z,+,call,android.media.AudioRecord.read,enter,"[""<java.nio.DirectByteBuffer>"", 2048]",,,"[+] android.media.AudioRecord.read called with: [""<java.nio.DirectByteBuffer>"",2048]"
2025-10-13T08:24:53.056346Z,+,call,android.media.AudioRecord.read,enter,"[""<java.nio.DirectByteBuffer>"", 2048, 0]",,,"[+] android.media.AudioRecord.read called with: [""<java.nio.DirectByteBuffer>"",2048,0]"
2025-10-13T08:24:53.056351Z,+,ret,android.media.AudioRecord.read,return,,2048,,[+] android.media.AudioRecord.read => 2048
2025-10-13T08:24:53.056354Z,+,ret,android.media.AudioRecord.read,return,,2048,,[+] android.media.AudioRecord.read => 2048
2025-10-13T08:24:53.056356Z,+,call,android.media.AudioRecord.read,enter,"[""<java.nio.DirectByteBuffer>"", 2048]",,,"[+] android.media.AudioRecord.read called with: [""<java.nio.DirectByteBuffer>"",2048]"
2025-10-13T08:24:53.056361Z,+,call,android.media.AudioRecord.read,enter,"[""<java.nio.DirectByteBuffer>"", 2048, 0]",,,"[+] android.media.AudioRecord.read called with: [""<java.nio.DirectByteBuffer>"",2048,0]"
2025-10-13T08:24:53.056366Z,+,ret,android.media.AudioRecord.read,return,,2048,,[+] android.media.AudioRecord.read => 2048
2025-10-13T08:24:53.056369Z,+,ret,android.media.AudioRecord.read,return,,2048,,[+] android.media.AudioRecord.read => 2048
2025-10-13T08:24:53.056372Z,+,call,android.media.AudioRecord.read,enter,"[""<java.nio.DirectByteBuffer>"", 2048]",,,"[+] android.media.AudioRecord.read called with: [""<java.nio.DirectByteBuffer>"",2048]"
2025-10-13T08:24:53.056376Z,+,call,android.media.AudioRecord.read,enter,"[""<java.nio.DirectByteBuffer>"", 2048, 0]",,,"[+] android.media.AudioRecord.read called with: [""<java.nio.DirectByteBuffer>"",2048,0]"
2025-10-13T08:24:53.056381Z,+,ret,android.media.AudioRecord.read,return,,2048,,[+] android.media.AudioRecord.read => 2048
2025-10-13T08:24:53.056384Z,+,ret,android.media.AudioRecord.read,return,,2048,,[+] android.media.AudioRecord.read => 2048
2025-10-13T08:24:53.056387Z,+,call,android.media.AudioRecord.read,enter,"[""<java.nio.DirectByteBuffer>"", 2048]",,,"[+] android.media.AudioRecord.read called with: [""<java.nio.DirectByteBuffer>"",2048]"
2025-10-13T08:24:53.056392Z,+,call,android.media.AudioRecord.read,enter,"[""<java.nio.DirectByteBuffer>"", 2048, 0]",,,"[+] android.media.AudioRecord.read called with: [""<java.nio.DirectByteBuffer>"",2048,0]"
2025-10-13T08:24:53.056397Z,+,ret,android.media.AudioRecord.read,return,,2048,,[+] android.media.AudioRecord.read => 2048
2025-10-13T08:24:53.056400Z,+,ret,android.media.AudioRecord.read,return,,2048,,[+] android.media.AudioRecord.read => 2048
